N,P,K,temperature,humidity,ph,rainfall,crop
116.1097,44.8959,40.0973,26.6726,53.123,6.3407,87.1046,maize
9.173,105.5524,167.3892,15.1007,83.898,5.7194,105.0772,apple
77.635,66.2481,99.0229,16.0284,71.0723,6.3099,80.9163,potato
42.9735,53.3609,46.5597,23.7489,55.0049,6.4617,55.3701,maize
37.9561,127.6378,165.1191,15.2679,69.3054,5.4086,142.2437,apple
82.9646,60.3182,41.9092,26.4975,60.9422,5.6389,112.2112,maize
15.4343,132.7119,152.3368,19.017,62.0064,5.9247,109.0895,apple
14.1923,139.7043,162.0201,20.4751,62.8218,6.0351,101.9404,apple
109.861,16.4332,90.1994,18.0912,64.6733,5.8249,88.1505,potato
93.8671,49.7959,10.3037,24.6639,71.4491,6.5407,99.2204,maize
56.5468,30.555,62.5092,20.6023,61.5492,5.9317,64.0389,peach
103.5934,50.6364,114.1425,15.5475,52.6573,5.2831,103.2839,potato
98.4659,66.1836,63.0487,17.6105,81.1817,6.1513,127.1443,bell_pepper
71.5871,56.9586,60.4498,21.0546,66.2501,5.7781,17.0079,cherry
140.0,53.4476,48.7177,25.9981,56.3138,6.2337,88.5073,maize
68.853,56.6898,33.2152,23.1458,69.0169,6.5708,31.9202,peach
128.7428,60.7916,80.662,24.6644,71.5982,5.9906,140.5832,tomato
84.3111,56.1244,86.1203,14.7749,84.8644,5.2505,86.1069,potato
96.2409,48.4483,103.1746,18.1603,67.8443,6.0084,65.8817,strawberry
94.2088,53.9554,50.3986,21.3683,79.5706,5.9173,41.8602,tomato
96.5197,23.5917,63.7659,18.039,52.2089,6.2417,69.3994,peach
133.8342,52.767,112.7998,16.5982,74.1332,5.5607,131.5621,potato
84.0597,55.5979,25.5672,22.37,54.7786,7.1125,134.8919,maize
115.9917,44.6493,56.3746,29.1602,69.9046,6.5731,103.9632,bell_pepper
122.4685,46.2576,104.153,13.2338,81.0042,5.6481,67.6426,strawberry
104.7709,38.6944,82.0995,25.1595,64.4356,6.9983,83.8787,peach
99.2175,37.2148,112.7782,16.7098,51.1134,7.1969,101.1255,peach
26.3238,124.7713,140.0327,20.012,68.3429,5.8685,112.406,apple
60.5507,25.0712,53.9144,19.9601,74.3464,5.4514,117.0655,strawberry
34.2037,52.2124,41.5413,20.7439,58.454,6.6101,79.2853,grapes
99.4237,57.6376,99.5904,20.3871,72.9895,6.4915,84.9885,tomato
9.5377,136.7967,157.5607,16.3556,60.0492,5.8733,110.5621,apple
18.3326,49.9329,72.4587,19.4966,66.1818,5.9021,80.8587,strawberry
81.6276,32.2813,52.7456,15.6261,60.7796,6.1621,111.9081,maize
80.5497,40.0767,40.5719,29.4594,76.7573,6.5641,103.7361,maize
94.9895,51.7426,43.0241,19.3392,58.9486,6.2465,92.1955,maize
65.6861,34.7838,83.1571,23.8946,48.7085,5.8288,88.3135,peach
5.3827,53.0265,48.2399,26.9929,62.2965,5.9231,44.2819,grapes
89.1967,68.0857,34.5197,23.6645,68.8635,6.426,85.8369,maize
140.0,54.8924,80.9945,24.3361,64.2265,5.9274,100.6655,bell_pepper
25.6772,32.4314,36.5874,20.7652,52.8072,5.9852,107.7045,grapes
50.8007,121.3904,156.9357,20.3164,54.8734,6.1852,92.3938,apple
86.5848,13.2135,28.9097,30.2741,57.6388,6.3873,75.8711,peach
21.9449,139.7938,166.9881,16.6333,77.022,6.8865,72.7176,apple
140.0,64.2905,91.805,27.4142,70.878,6.6543,128.2051,tomato
115.1457,45.0598,82.145,13.5978,75.4932,5.6349,90.1267,potato
123.7181,52.2043,118.6951,19.0507,75.9586,5.9384,65.0166,tomato
65.527,55.019,53.864,24.0111,63.3857,6.5594,36.2825,maize
28.8957,115.6382,162.0483,18.5511,65.4401,5.6782,100.2773,apple
62.7649,64.9583,135.169,11.1418,96.1701,5.8265,109.0972,strawberry
80.8478,50.7937,43.6128,23.3825,50.0224,5.8297,84.2779,maize
73.4785,45.0879,113.1479,13.9086,70.4517,6.428,151.1256,strawberry
104.7554,29.3575,126.354,16.6942,76.9181,5.9835,59.174,potato
80.8635,59.3874,103.4798,15.5315,76.8282,6.5354,51.2869,cherry
49.3592,53.5634,51.4411,31.5306,61.729,6.2068,65.8619,maize
89.6738,47.8761,86.1982,17.945,52.8897,5.5101,171.2449,potato
8.3027,129.1763,152.8434,23.0472,78.4146,5.5992,91.2204,apple
29.168,139.4036,155.5696,22.596,62.3562,5.9577,115.6,apple
110.1162,68.1774,47.2475,23.0865,86.7238,6.2571,86.0714,maize
85.0266,48.0264,45.8813,18.9291,57.5745,6.6664,100.833,cherry
62.0763,47.1809,93.47,19.4138,57.5135,6.3444,128.2492,cherry
65.5767,36.6189,82.6989,16.437,72.5374,5.7212,57.8935,strawberry
32.5202,74.5511,49.4357,22.3066,57.4183,6.5817,92.0579,grapes
77.6863,42.1324,61.9111,19.9901,76.3967,5.5975,54.9796,strawberry
88.2228,52.0573,106.3267,17.0011,77.2804,5.9097,103.8848,potato
115.2826,58.8893,170.0291,19.9248,78.7053,5.8448,116.4568,potato
72.8589,72.085,65.2119,25.2744,42.298,6.6786,79.1115,peach
77.0818,46.8545,73.8704,18.6309,85.822,5.7332,63.2554,strawberry
29.2669,57.6514,67.8173,23.5733,56.1046,6.4686,51.821,grapes
77.5311,41.1028,87.0068,14.7076,94.5068,6.0034,122.6096,strawberry
49.688,100.3303,160.6755,21.7276,67.2784,5.9759,117.9363,apple
73.0114,59.1294,26.7779,20.1902,71.1678,7.1253,124.9729,maize
109.6374,35.1712,140.0805,19.8473,67.5756,5.7126,130.8632,potato
90.8219,45.3592,94.2456,17.0794,53.0864,6.4042,117.8313,potato
18.2141,131.5284,153.8822,17.3256,76.8425,5.1187,75.0058,apple
39.5906,130.4754,128.7077,17.9148,72.2202,6.1192,108.2762,apple
57.6725,48.8862,90.5133,13.8163,80.987,5.5996,132.6964,strawberry
77.8947,28.0095,68.559,20.0898,65.42,6.5966,96.3951,peach
107.5125,56.2884,89.7409,22.8157,66.7768,7.0549,137.2938,tomato
97.9638,68.1165,23.3283,28.7348,39.7277,6.8161,103.3279,maize
97.5986,95.533,106.596,28.6642,59.2914,6.0108,100.7144,bell_pepper
67.1789,45.5898,95.8297,20.2248,60.828,6.8398,83.3643,cherry
72.0609,40.0199,60.2059,20.4551,48.6112,6.3056,53.7468,peach
70.8806,43.9567,92.154,17.556,68.5832,5.0122,122.8596,potato
7.5803,37.4747,65.3177,18.2047,52.9381,6.6706,12.5966,grapes
23.7478,128.3947,142.7541,15.0144,86.2221,6.1818,179.4291,apple
67.1206,47.4338,86.6271,18.6295,58.1276,6.1316,46.2438,cherry
7.5178,31.4014,53.5645,25.4915,51.2699,6.7728,136.6923,grapes
137.1106,23.7557,61.5138,28.2483,81.8972,6.4441,99.9625,bell_pepper
76.9094,41.8414,86.0896,18.2085,67.3124,6.2543,66.798,cherry
17.455,115.6741,155.4482,19.2888,78.5564,6.0716,65.8539,apple
76.0652,54.9821,77.7086,18.4144,78.2912,5.4347,96.8914,tomato
64.9694,44.9646,87.9074,22.8079,76.115,6.0516,98.6651,cherry
96.0305,33.145,75.3099,18.3178,61.9206,6.0346,76.8652,cherry
71.3921,45.549,72.5904,17.3282,70.695,5.8555,101.2778,cherry
98.9739,61.6806,69.167,21.5845,76.7392,6.3199,87.7713,tomato
60.5953,59.6554,69.6457,19.9572,80.168,6.6715,78.8758,cherry
63.0038,33.5259,44.8796,25.6873,73.4011,6.5875,123.0759,maize
75.2435,35.6294,123.801,14.475,70.4169,5.546,74.9828,potato
101.7335,54.9983,119.9724,18.6519,74.6399,5.9079,140.1578,potato
116.1661,27.6802,111.2523,16.5927,76.4856,6.0969,94.8625,potato
86.8031,45.8606,64.8585,30.7526,81.5114,6.1231,76.8542,tomato
29.9362,117.8235,153.7473,14.9509,59.1408,6.3322,154.2784,apple
102.1496,44.0457,53.1901,16.5186,79.5996,5.3691,106.316,strawberry
54.408,38.9646,68.5597,20.4412,72.1466,5.2198,129.0667,tomato
16.3829,49.95,57.2797,22.0421,45.4942,5.9823,22.0446,grapes
112.5887,41.0785,91.7566,25.2678,60.4697,6.1067,35.5963,bell_pepper
122.7372,55.9349,88.8548,18.0835,68.7532,5.8788,127.2113,potato
119.6761,35.935,48.4958,22.0555,66.0378,6.1511,125.9549,maize
97.473,40.7557,94.8127,16.7474,63.039,5.2864,104.8182,strawberry
126.0127,54.7422,81.5399,27.5553,84.6964,6.058,94.7223,bell_pepper
119.0364,58.8016,129.8788,28.1038,52.8028,6.2582,78.1089,tomato
96.1743,49.1628,44.2181,23.5896,70.2895,6.3601,75.4185,maize
105.6816,56.9138,106.0749,11.6653,65.8332,5.8097,119.2099,potato
105.6016,28.3851,59.352,18.8234,50.6572,6.1004,99.2749,strawberry
69.2908,41.814,79.5387,20.5507,77.8848,5.1815,96.09,strawberry
86.2502,69.5321,61.3558,22.0819,62.9386,7.0347,80.0497,bell_pepper
122.3286,37.6679,61.7818,19.5704,57.326,5.4962,117.735,maize
21.7536,65.6098,68.9356,25.8894,62.7372,5.8656,61.8213,grapes
13.6356,131.8088,164.4769,21.1868,68.6989,6.2216,142.1144,apple
128.2716,49.1482,115.3943,21.1938,78.7653,5.7392,99.9469,tomato
16.3444,120.1818,172.4112,20.3734,79.6988,5.8249,76.9108,apple
85.7421,47.0436,28.9593,22.478,61.4146,6.6006,120.2749,maize
96.7405,80.7866,40.7495,23.8464,71.6484,7.0417,139.4606,maize
4.7677,132.393,164.2197,25.3849,74.8983,6.4077,79.1645,apple
139.3266,79.0435,83.8014,26.7174,64.6194,5.7885,86.5039,bell_pepper
89.4611,58.5259,75.4893,30.5807,74.359,6.2047,115.71,bell_pepper
79.9665,41.3419,93.6133,18.6063,77.0059,6.2256,124.0794,strawberry
101.9905,65.1485,99.8377,25.1024,66.9934,5.695,118.6777,tomato
91.4726,43.4825,109.4457,13.9763,70.6677,6.2398,91.9942,strawberry
66.99,39.599,43.7215,23.8247,67.0653,6.5983,83.4693,maize
107.0901,55.6054,105.4249,20.7119,52.4002,5.1173,94.1564,potato
41.1994,42.9465,39.8834,24.4875,56.9071,6.5819,48.1835,grapes
78.8349,23.9272,94.3705,22.355,69.9403,6.0673,68.4248,peach
79.8413,48.4185,44.795,24.9804,52.852,5.7286,72.7064,maize
68.4222,36.4126,61.2099,13.8542,52.8527,6.8231,129.6682,cherry
110.4622,69.6678,124.2014,26.641,67.7784,6.0393,115.7758,tomato
5.0482,142.1745,142.1074,16.4017,62.0028,6.2031,99.2355,apple
140.0,54.6663,111.2754,19.1493,53.6501,7.0405,177.6375,bell_pepper
79.2138,68.1338,89.3207,22.9767,54.8615,6.0738,94.1474,peach
78.4835,43.961,91.4984,12.585,44.1463,6.1523,48.5921,cherry
87.6205,63.6738,50.6464,20.9636,71.1568,6.6491,77.6156,maize
67.8183,52.0036,52.996,22.8384,45.9363,6.4829,53.983,grapes
42.7572,36.9966,77.1806,20.1883,58.4747,6.4057,48.1056,peach
138.1565,68.3819,108.34,24.0181,66.5307,6.6162,72.4517,bell_pepper
140.0,62.0613,103.5491,23.3199,62.2075,5.3908,102.0942,bell_pepper
109.7402,41.4659,77.3512,17.7309,57.358,6.3485,87.601,peach
87.8044,33.5594,103.0317,22.7098,78.1244,5.9723,78.7443,tomato
76.3872,59.7535,33.0279,22.2835,80.3713,6.7586,93.2192,maize
41.3015,47.652,49.6631,27.1986,68.3721,6.9242,47.6359,grapes
51.5447,37.3715,86.5289,22.5233,71.2907,5.6942,111.6176,strawberry
45.6478,48.9422,105.2013,22.1194,67.5812,5.9734,63.1974,strawberry
41.9696,24.3896,48.5246,23.7966,69.8325,6.3115,43.0808,cherry
42.2176,56.06,75.9433,25.7144,47.0199,6.4924,115.3591,grapes
90.084,44.3021,31.5368,26.1138,64.9917,6.8151,134.0274,maize
88.688,38.6023,78.4536,19.9175,62.5802,6.5524,38.2562,peach
20.2502,121.3215,139.9666,16.6716,62.6786,5.5002,120.1429,apple
55.8284,41.2294,55.5433,21.2335,63.5419,5.93,69.0824,cherry
102.1283,51.8352,153.1666,19.7576,90.7558,5.369,78.6292,potato
117.9772,74.1977,30.9473,20.5503,44.5127,6.4117,134.2073,bell_pepper
94.5583,52.23,61.6233,19.0826,76.1418,5.4636,77.2717,strawberry
68.518,54.3092,94.7361,15.8257,81.195,6.3764,105.8754,potato
58.1383,47.3657,68.7023,22.1122,58.9391,5.7363,37.0407,cherry
91.011,41.5013,93.1852,18.7421,62.6162,6.009,71.3186,tomato
111.9848,59.441,68.7616,21.66,64.0545,6.1947,46.9436,cherry
108.2575,54.7335,92.1047,21.5548,83.3944,6.3452,127.1939,tomato
135.0571,63.5392,118.5876,29.2546,57.7236,5.6883,169.395,tomato
80.2886,40.6924,67.2201,18.5208,63.6498,6.4132,81.4,peach
123.1459,39.1752,57.1227,22.6481,83.4176,6.3937,108.8509,bell_pepper
104.2458,46.4519,94.6731,19.3197,79.7263,5.5082,92.136,potato
5.2253,53.0422,37.9499,21.1087,50.1597,6.6312,167.7226,grapes
49.845,40.0201,51.5663,22.3136,57.3599,6.8905,155.6191,maize
93.9755,31.1395,93.1995,19.0159,77.0048,5.911,60.2031,peach
121.3805,81.8874,63.1367,29.6367,69.1232,6.1975,140.1988,bell_pepper
103.6775,45.0352,65.2971,25.1072,62.728,5.873,112.8474,bell_pepper
97.5708,59.4594,69.8709,13.1507,64.3384,6.5479,124.074,bell_pepper
112.8896,69.8932,89.5748,21.257,78.8935,7.1952,132.2254,tomato
56.9944,118.5853,148.5528,18.2543,61.3745,5.3573,30.684,apple
92.088,36.9386,34.7775,26.8831,80.0479,6.5899,75.186,maize
66.6628,37.4341,64.6577,13.424,77.111,6.2668,65.5575,strawberry
46.1271,54.1974,67.3928,25.8634,54.3135,6.4917,59.4067,maize
31.8222,145.0,157.8552,18.5529,61.1993,5.9623,94.3544,apple
82.1644,29.4369,68.3511,25.1146,42.5195,5.9326,89.3781,peach
89.8979,38.7667,87.9911,18.0565,52.5094,6.4208,33.4249,cherry
123.6159,47.2544,100.1331,14.2171,70.5694,5.7031,94.9333,potato
116.7039,34.178,98.478,29.4612,70.5508,6.9504,57.6096,tomato
58.3567,51.8434,41.7265,26.5362,70.2072,5.1954,123.9387,maize
120.6289,72.6422,69.7599,28.5636,64.2475,6.0573,121.3859,tomato
32.8446,115.3565,155.7994,25.1669,76.2943,6.491,146.4152,apple
12.0486,75.4981,68.0915,26.3859,65.6218,6.4038,57.9372,grapes
25.8564,76.2227,44.3798,21.0201,51.8822,6.2099,80.4012,grapes
87.9485,65.998,39.2318,27.4797,70.0011,5.8291,67.8379,maize
134.2301,40.6212,89.8115,25.9145,70.6962,5.7599,123.9911,tomato
48.1557,62.0942,70.9546,30.9213,55.3084,5.8456,53.3303,grapes
113.0451,59.4483,71.8431,26.3563,49.8006,5.3783,78.7766,bell_pepper
68.6286,43.8112,57.7811,23.451,80.452,5.7614,112.0554,cherry
89.3242,34.8971,72.0248,17.8988,84.0675,6.7774,85.4334,cherry
56.293,42.2074,32.2016,18.8264,57.5319,5.9777,125.1057,maize
65.8019,32.217,58.8424,17.2419,77.5187,6.5476,78.3579,strawberry
59.5192,49.1181,61.7443,29.0079,67.2748,6.4201,74.4808,cherry
126.655,55.217,105.4225,28.6327,68.574,5.7716,124.0856,tomato
117.5427,56.1556,108.4158,28.2575,65.1865,6.4031,111.979,bell_pepper
69.2285,48.9064,45.0217,22.1911,79.997,6.2221,95.1603,strawberry
39.9038,107.1379,140.5406,17.1069,67.7018,5.8946,113.774,apple
105.3639,70.8396,22.2338,23.3055,70.0474,6.4581,100.4946,bell_pepper
107.6498,95.5791,71.8299,17.9726,71.7603,6.521,44.1295,bell_pepper
78.8271,74.4057,94.5928,17.0405,53.6488,6.7023,104.535,cherry
24.4347,69.006,51.2052,24.5392,63.1034,5.8672,65.4409,grapes
39.643,116.9397,134.5489,16.3828,88.4073,5.6106,116.1231,apple
10.7354,123.712,147.5475,22.3801,65.8173,6.3244,138.9295,apple
46.0184,46.1041,68.6228,23.0075,69.0294,6.3047,89.2587,cherry
140.0,44.9699,80.3706,20.8391,50.6082,6.7479,113.6572,tomato
5.2768,31.6305,61.9284,24.2958,47.4492,6.4116,24.4547,grapes
34.9627,65.6027,43.1316,24.4806,48.1124,6.2308,65.8319,grapes
80.5725,36.533,81.885,11.6315,79.1861,5.774,107.7527,strawberry
63.7857,52.6173,80.2686,20.3274,63.8579,6.277,100.5484,peach
26.9763,143.0659,149.7176,19.2131,74.0309,6.3295,107.1084,apple
79.7842,49.6633,110.3835,20.5068,62.6219,7.1103,67.2613,peach
9.6913,37.0122,63.0431,18.0651,53.4831,6.6571,17.7645,grapes
80.0458,39.1767,84.5356,20.8003,88.2887,5.9113,92.4364,strawberry
92.7386,55.7502,105.2539,18.7447,75.1195,6.3386,101.981,strawberry
92.3696,52.7989,81.8899,21.9103,69.5113,6.3793,110.9735,bell_pepper
5.1266,51.3057,46.4269,20.0953,45.4241,6.2755,99.0718,grapes
104.7866,30.2567,114.4763,16.6306,63.2,6.1914,106.3259,potato
39.145,42.284,49.9625,26.4876,63.8781,6.3197,60.8254,grapes
50.2528,58.177,43.7645,22.296,63.5659,6.2836,62.2675,cherry
109.6677,44.5331,123.4388,18.822,70.3302,5.7996,84.3309,potato
18.9483,129.9069,144.5136,16.182,63.915,5.4928,93.0712,apple
89.3099,63.1697,95.3803,21.1096,71.9685,5.5511,105.4643,potato
39.0915,62.5927,53.2996,24.024,62.7963,5.3439,66.1617,grapes
67.3943,42.7318,61.6209,29.2399,47.0791,6.3502,35.8784,grapes
45.4579,77.4318,141.0353,22.7534,68.8808,5.5827,101.496,potato
81.8092,32.9745,51.0857,15.635,60.9652,6.1899,111.7085,maize
79.428,37.6844,111.4488,22.4538,66.0247,6.31,85.7238,peach
74.705,74.2815,87.5762,15.9996,61.4718,6.2133,116.5833,potato
76.5586,93.1746,82.9114,22.2204,69.7645,5.5893,133.9966,tomato
79.5449,63.6025,119.3778,21.933,57.9864,6.9351,124.3676,bell_pepper
58.7126,15.7899,55.6819,22.6497,49.5218,6.4521,86.1639,peach
104.2597,60.2131,72.459,29.9158,84.6106,5.9232,118.2875,bell_pepper
47.6728,34.604,98.3867,22.2069,61.8015,6.1979,37.4714,peach
65.606,65.1208,99.8943,17.1624,66.7555,6.1765,85.7226,strawberry
82.1629,53.4135,88.3077,18.0388,64.2336,6.2811,86.6911,strawberry
124.459,65.6601,90.9962,19.1179,66.785,6.1426,97.818,tomato
136.6077,74.5097,62.1152,25.3821,77.4676,6.231,66.544,bell_pepper
37.9725,62.2843,91.3948,21.1229,62.5182,5.9593,62.6538,cherry
86.074,23.143,97.1842,20.8236,86.8235,6.8727,125.7186,tomato
140.0,35.137,180.3126,21.3954,70.5619,5.8353,46.8896,potato
6.537,120.4331,154.5652,18.5093,71.549,6.3112,112.0495,apple
35.1706,123.9126,112.4126,15.6425,71.0759,6.3663,125.8083,apple
78.024,50.867,73.6908,16.0739,66.0531,6.0894,104.6258,cherry
140.0,68.1745,59.8341,23.83,59.0771,5.4435,67.1511,bell_pepper
42.7718,50.8117,67.7208,21.8685,34.7341,7.3739,77.766,grapes
80.5094,23.3072,31.339,13.5761,64.8561,6.646,66.2595,cherry
98.3819,60.1158,43.9875,33.5971,74.2478,6.5528,76.7441,maize
80.8441,93.1285,100.1366,20.6576,75.315,5.3221,75.2551,potato
63.8865,54.4105,89.493,23.3067,89.8729,5.2559,91.4084,potato
21.9472,30.9033,62.1286,21.6472,56.2699,6.2689,15.0044,grapes
56.1773,31.6479,102.6022,17.598,68.7531,5.8243,113.8042,potato
97.734,51.7106,95.3468,17.9019,66.023,6.6658,58.9998,peach
78.7131,39.4224,70.65,19.2672,62.915,5.8734,109.2136,cherry
92.7568,36.2413,38.5772,21.6706,70.7159,6.1343,139.8207,maize
99.7503,45.5325,86.8925,23.7411,79.549,6.5294,94.1987,tomato
66.1049,56.3762,44.3401,19.6915,63.5118,5.791,102.795,maize
3.411,56.1664,68.8191,18.6053,54.5225,6.1669,16.9426,grapes
119.1058,61.4615,90.8644,29.5745,70.2746,6.9795,85.8104,tomato
88.1591,28.502,80.3873,20.5749,73.6386,6.8148,97.1781,cherry
91.299,36.6295,33.0046,26.067,73.0938,5.9854,129.045,maize
90.0471,43.9699,29.5852,26.1792,64.972,6.7611,135.6323,maize
86.7553,60.5114,97.3634,22.3599,69.7488,6.6251,64.6491,bell_pepper
5.4391,55.9956,63.012,23.4148,52.3467,6.1541,15.5896,grapes
64.1091,43.019,99.7378,20.7921,81.028,5.8369,70.9221,tomato
89.0336,56.0782,59.3999,24.712,64.2542,7.0173,137.328,maize
91.1933,56.0737,96.3447,25.6012,51.4397,6.8435,100.8389,tomato
95.4692,41.5176,61.6182,23.6803,50.872,5.8248,114.2642,cherry
43.3359,42.5323,69.9395,19.8453,76.3524,5.9589,100.4725,grapes
76.8324,48.06,70.4238,17.692,60.6915,5.9188,83.8411,strawberry
108.6702,47.9199,83.4353,26.6192,85.1837,5.7343,61.4515,bell_pepper
64.8834,47.7697,79.4537,17.9882,61.6361,6.0069,41.084,peach
92.7418,31.2251,110.0861,16.5657,79.392,5.2413,92.0204,potato
140.0,58.848,109.7238,28.4719,46.9577,5.9758,120.8846,bell_pepper
82.8645,57.1509,46.194,21.7777,66.1772,6.9765,76.4202,maize
43.6498,35.575,63.6147,18.1491,42.1088,6.5303,111.3136,grapes
137.7594,55.7491,90.8992,15.8366,68.2865,6.505,97.1492,potato
52.5389,40.7582,79.2114,20.7769,48.0714,6.7331,63.4105,peach
56.7769,47.6822,90.3259,24.8346,70.1305,5.9173,98.1252,strawberry
39.5847,65.239,55.3292,23.0376,53.4612,6.6132,68.3637,grapes
97.7519,44.9754,49.6164,21.3103,66.7989,6.8149,50.5299,peach
97.1163,49.6701,88.1518,23.9248,75.0955,6.6374,96.1224,tomato
76.7653,37.9139,59.5684,23.2044,64.7773,5.7129,78.283,peach
102.9593,54.7222,118.543,21.1953,60.5618,5.4872,125.873,potato
99.1958,45.7585,82.0001,26.0577,60.1936,6.5487,99.533,tomato
37.3043,53.1705,83.2561,16.282,63.0235,5.5442,101.4116,cherry
110.7321,51.3676,92.4914,22.1661,56.6939,6.338,77.2564,peach
64.3127,47.0863,71.5685,20.2404,78.7782,5.4325,86.7242,strawberry
22.1375,58.6996,52.2665,24.3686,50.4722,7.1939,114.6376,grapes
94.5718,43.2719,29.9605,22.7623,57.5906,7.2879,69.9607,peach
93.3659,64.158,87.2414,10.7978,69.0084,6.3202,90.8453,strawberry
49.4535,40.3752,50.842,22.1373,57.354,6.9722,148.6611,maize
73.692,33.989,51.4713,16.5292,71.0481,5.99,127.1099,strawberry
114.8243,45.0887,57.8747,30.7896,70.2593,6.0516,120.3636,bell_pepper
17.876,61.8817,54.8083,24.8257,47.4389,6.7287,122.7828,grapes
107.3536,32.024,70.7589,17.6163,71.0141,6.6343,71.3428,peach
117.5824,54.1898,83.6184,23.9757,74.8059,5.321,111.2336,potato
128.8778,86.9995,118.7398,24.5074,75.542,6.452,97.6546,bell_pepper
75.5896,37.4159,57.2699,12.8971,66.0027,6.6684,96.9693,cherry
55.3472,37.1642,45.4773,29.1372,67.7937,6.6353,103.9445,maize
101.7818,63.7091,106.3735,24.7042,68.7563,6.1789,67.8324,tomato
84.6014,55.3929,62.2789,21.5465,61.2851,5.5576,80.6099,cherry
85.6982,44.7026,38.6267,23.1234,72.8547,6.4537,114.7118,maize
33.0221,118.3209,141.7085,12.8543,69.0453,5.554,62.407,apple
107.6472,54.0674,138.734,24.5727,53.5464,6.0481,86.0612,tomato
65.8836,66.9234,112.4114,19.5249,76.6907,5.8622,87.4461,potato
140.0,53.7057,46.4106,26.0487,56.0891,6.2192,87.7742,maize
14.2579,60.656,78.8425,21.885,56.088,6.1734,104.925,grapes
24.475,50.7699,57.4854,21.8716,47.958,6.2358,85.2869,grapes
85.9297,57.5474,50.8962,26.0802,58.3423,6.4211,94.2231,maize
76.3366,62.5959,88.9459,17.8516,58.2845,5.4854,97.6169,potato
13.4746,46.8645,55.9802,20.804,69.8085,6.6749,88.0169,grapes
69.0289,38.4947,46.6068,24.1464,60.8068,6.7592,51.7586,peach
87.9613,72.3342,64.8616,17.717,73.1389,6.145,87.9171,cherry
25.8625,122.5542,151.7281,17.5305,70.3006,6.6035,73.3278,apple
107.5914,58.6333,94.0062,18.0744,75.3883,5.4766,102.7204,strawberry
61.9195,42.1778,67.3952,16.2747,71.1124,6.2009,110.3953,cherry
